Name | Total rule apps | Nodes | Branches | Overall time | Automode time | Closed | Time per step | Memory
examples/./../../EVotingMachine/proofobligation/environment.Environment(environment.Environment__untrustedInputArray(int)).contract.0.key.auto.key | 3544 | 1874 | 50 | 34016 | 9735 | 1 | 5.197544 | 36505
examples/./../../EVotingMachine/proofobligation/environment.Environment(environment.Environment__untrustedInput()).contract.0.key.auto.key | 1275 | 635 | 17 | 23926 | 11473 | 1 | 18.096214 | 26044
examples/./../../EVotingMachine/proofobligation/environment.Environment(environment.Environment__untrustedInput(int)).contract.0.key.auto.key | 1335 | 550 | 28 | 32729 | 7081 | 1 | 12.897996 | 25517
examples/./../../EVotingMachine/proofobligation/environment.Environment(environment.Environment__untrustedInputMessage()).contract.0.key.auto.key | 3342 | 1820 | 51 | 28039 | 7407 | 1 | 4.0720177 | 35556
examples/./../../EVotingMachine/proofobligation/environment.Environment(environment.Environment__untrustedInputMessages(int)).contract.0.key.auto.key | 3499 | 1918 | 51 | 20220 | 10341 | 1 | 5.3943663 | 36337
examples/./../../EVotingMachine/proofobligation/environment.Environment(environment.Environment__untrustedOutput(long)).contract.0.key.auto.key | 1183 | 606 | 22 | 14443 | 4116 | 1 | 6.8033056 | 25333
examples/./../../EVotingMachine/proofobligation/environment.Environment(environment.Environment__untrustedOutputMessage([B)).contract.0.key.auto.key | 2491 | 1237 | 46 | 16003 | 5917 | 1 | 4.7872167 | 32495
examples/./../../EVotingMachine/proofobligation/environment.Environment(environment.Environment__untrustedOutputString(String)).contract.0.key.auto.key | 2999 | 1495 | 64 | 16314 | 6420 | 1 | 4.2971888 | 33836
examples/./../../EVotingMachine/proofobligation/eVotingMachine.core.BulletinBoard(eVotingMachine.core.BulletinBoard__onRequestContent()).contract.0.key.auto.key | 317 | 139 | 10 | 11676 | 1582 | 1 | 11.463768 | 21099
examples/./../../EVotingMachine/proofobligation/eVotingMachine.core.EntryQueue(eVotingMachine.core.EntryQueue__add([B)).exceptional contract.0.key.auto.key | 1020 | 440 | 15 | 14086 | 4289 | 1 | 9.769932 | 23929
examples/./../../EVotingMachine/proofobligation/eVotingMachine.core.EntryQueue(eVotingMachine.core.EntryQueue__add([B)).normal contract.0.key.auto.key | 719 | 296 | 9 | 12712 | 2722 | 1 | 9.2271185 | 23240
examples/./../../EVotingMachine/proofobligation/eVotingMachine.core.EntryQueue(eVotingMachine.core.EntryQueue__add([B)).normal contract.1.key.auto.key | 609 | 236 | 6 | 12425 | 2627 | 1 | 11.178723 | 22473
examples/./../../EVotingMachine/proofobligation/eVotingMachine.core.EntryQueue(eVotingMachine.core.EntryQueue__getEntries()).contract.0.key.auto.key | 1729 | 777 | 30 | 15393 | 5417 | 1 | 6.98067 | 27604
examples/./../../EVotingMachine/proofobligation/eVotingMachine.core.EntryQueue.Node(eVotingMachine.core.EntryQueue.Node__Node([B)).normal contract.0.key.auto.key | 383 | 198 | 4 | 12097 | 2429 | 1 | 12.329949 | 21801
examples/./../../EVotingMachine/proofobligation/eVotingMachine.core.Setup(eVotingMachine.core.Setup__computeResult([I,int)).normal contract.0.key.auto.key | 4644 | 2499 | 46 | 23242 | 12950 | 1 | 5.1841474 | 45722
examples/./../../EVotingMachine/proofobligation/eVotingMachine.core.Setup(eVotingMachine.core.Setup__createChoices(int,int)).contract.0.key.auto.key | 3613 | 1876 | 40 | 20613 | 10159 | 1 | 5.4181333 | 37210
examples/./../../EVotingMachine/proofobligation/eVotingMachine.core.Setup(eVotingMachine.core.Setup__equalResult([I,[I)).normal contract.0.key.auto.key | 1218 | 596 | 12 | 14117 | 4187 | 1 | 7.036975 | 25746
